User Name,Nickname,Favs,Rts,Favs+RTs,Tweet content,Hour,Date (YYYY-MM-DD),Date (DD-MM-YYYY),Time Code (UTC)
Aaron Carter,aaroncarter,35,15,50,"Movie time with my boys @ Malibu, California https://t.co/EDo0WT4k52",07:56:35,2016-04-15,15-04-2016,2016-04-15T07:56:35Z
❤ Una Escritora ❤,Chiichaaraa,,49,49,Carlos Bugani 😏,22:22:06,2016-04-14,14-04-2016,2016-04-14T22:22:06Z
X AMBASSADORS,XAmbassadors,37,12,49,"Hello everyone.

As I write this on behalf of the whole band, I am equally ashamed and… https://t.co/wfFZPVmZg0",01:45:28,2016-04-16,16-04-2016,2016-04-16T01:45:28Z
Sam Alves,samalvesmusic,35,14,49,City through my eyes 😎 #newyorkcity #manhattan #nyc #hk @ The High Line https://t.co/pIcyVvoJKV,21:13:58,2016-04-18,18-04-2016,2016-04-18T21:13:58Z
TOÑO LIZARRAGA,TonoLizarraga1,32,16,48,Todo listo todo preparado hoy tenemos grabación de programa al rato les cuento a dónde y a qué… https://t.co/IAKJz89TCF,16:46:09,2016-04-14,14-04-2016,2016-04-14T16:46:09Z
Anna Todd,imaginator1dx,36,11,47,So excited to see this show with @kathleenatucker ashleyyyyr and the guys. #RT16 @ ARIA Resort &amp;… https://t.co/e0FQAAaNHb,01:10:42,2016-04-16,16-04-2016,2016-04-16T01:10:42Z
Aml Ameen,AmlAmeen,38,8,46,"Sun Kissed by California #LA #perfectweather #myhood  😌 @ Santa Monica, California https://t.co/TcT3wdyy5f",02:07:58,2016-04-16,16-04-2016,2016-04-16T02:07:58Z
Danielle Clyde,daniellefclyde,34,12,46,Wondering.. @ The Saguaro Palm Springs https://t.co/tdn7yfIvTJ,17:11:12,2016-04-15,15-04-2016,2016-04-15T17:11:12Z
SNAP: beccapires,beccapires,42,3,45,God has a plan @ Venice Beach https://t.co/qnuR3uVBmr,23:25:14,2016-04-14,14-04-2016,2016-04-14T23:25:14Z
Anthony Starble,AnthonyStarble,27,18,45,Playing at The Grove with @larakaruna tonight from 6-9! All the jamz...roll thru! #singer #gig… https://t.co/wexYpOZsod,00:33:03,2016-04-16,16-04-2016,2016-04-16T00:33:03Z
